user_id,handle,coding_score,total_problems_solved,potd_longest_streak,profile_url
10729047,abhaygargjhwxf,591,163,38,https://auth.geeksforgeeks.org/user/abhaygargjhwxf/
21554934,bhumikat2oi,588,186,1,https://auth.geeksforgeeks.org/user/bhumikat2oi/
1566867,ankityadav770587,585,207,8,https://auth.geeksforgeeks.org/user/ankityadav770587/
12477790,jesseprabhayyqm,584,149,47,https://auth.geeksforgeeks.org/user/jesseprabhayyqm/
12477833,jesseprabhacebo,584,148,47,https://auth.geeksforgeeks.org/user/jesseprabhacebo/
863549,Randhir__,581,313,0,https://auth.geeksforgeeks.org/user/Randhir__/
4300257,pratyakshsaini745,579,171,57,https://auth.geeksforgeeks.org/user/pratyakshsaini745/
12477849,jesseprabhakarjmw3,576,146,47,https://auth.geeksforgeeks.org/user/jesseprabhakarjmw3/
7507064,dhirendrayadav287,572,181,1,https://auth.geeksforgeeks.org/user/dhirendrayadav287/
771188,VishavSingh,565,214,,https://auth.geeksforgeeks.org/user/VishavSingh/
197013,Nikhil_Mishra,563,224,1,https://auth.geeksforgeeks.org/user/Nikhil_Mishra/
10372192,akhilshar4la5,563,147,22,https://auth.geeksforgeeks.org/user/akhilshar4la5/
7535015,syedruwaid32,562,156,7,https://auth.geeksforgeeks.org/user/syedruwaid32/
9583176,sastryvenkat,559,140,75,https://auth.geeksforgeeks.org/user/sastryvenkat/
1561807,tushar_vatsal,558,191,2,https://auth.geeksforgeeks.org/user/tushar_vatsal/
10372242,nahibataongaci7d,555,147,34,https://auth.geeksforgeeks.org/user/nahibataongaci7d/
16718093,mahajanzwuv,555,190,4,https://auth.geeksforgeeks.org/user/mahajanzwuv/
1255558,akmashh62,545,220,9,https://auth.geeksforgeeks.org/user/akmashh62/
3343882,fasilzarger123,545,147,35,https://auth.geeksforgeeks.org/user/fasilzarger123/
4045682,enayatashraf7,542,156,1,https://auth.geeksforgeeks.org/user/enayatashraf7/
16654156,kourjddgf,540,245,1,https://auth.geeksforgeeks.org/user/kourjddgf/
2910445,tarjan,534,283,2,https://auth.geeksforgeeks.org/user/tarjan/
16355969,najarnawlrp,528,210,0,https://auth.geeksforgeeks.org/user/najarnawlrp/
16340592,ershitalcgf9h,527,134,71,https://auth.geeksforgeeks.org/user/ershitalcgf9h/
9065303,zahoor65btech20,521,139,31,https://auth.geeksforgeeks.org/user/zahoor65btech20/
3657850,gsk7051,510,184,3,https://auth.geeksforgeeks.org/user/gsk7051/
1423440,lusmdudee,509,153,0,https://auth.geeksforgeeks.org/user/lusmdudee/
10706815,princegakiix,508,125,35,https://auth.geeksforgeeks.org/user/princegakiix/
9536446,tvsanimia2,507,130,66,https://auth.geeksforgeeks.org/user/tvsanimia2/
85293,Aakash7065,503,177,,https://auth.geeksforgeeks.org/user/Aakash7065/
11114447,anishkumark55o,502,128,58,https://auth.geeksforgeeks.org/user/anishkumark55o/
12449085,gauravstod924,499,145,0,https://auth.geeksforgeeks.org/user/gauravstod924/
1549722,rakshitsharma268,496,129,1,https://auth.geeksforgeeks.org/user/rakshitsharma268/
4074641,harshitd891,492,237,4,https://auth.geeksforgeeks.org/user/harshitd891/
12117455,sanjeevmeena,492,122,35,https://auth.geeksforgeeks.org/user/sanjeevmeena/
13058750,sanchariz92c,489,232,32,https://auth.geeksforgeeks.org/user/sanchariz92c/
4961038,vermaritesh629,485,179,2,https://auth.geeksforgeeks.org/user/vermaritesh629/
1232802,nisthasinghin,484,216,1,https://auth.geeksforgeeks.org/user/nisthasinghin/
10372212,arunsharm94f8,483,125,29,https://auth.geeksforgeeks.org/user/arunsharm94f8/
14347861,krnmahes9nt3,479,145,33,https://auth.geeksforgeeks.org/user/krnmahes9nt3/
19060924,jasmeet71,478,134,6,https://auth.geeksforgeeks.org/user/jasmeet71/
5036538,khunshafarooq,473,199,1,https://auth.geeksforgeeks.org/user/khunshafarooq/
3678839,aryanhp03910,466,219,2,https://auth.geeksforgeeks.org/user/aryanhp03910/
955348,iamishuverma,465,161,,https://auth.geeksforgeeks.org/user/iamishuverma/
4929703,hsnooob,465,121,69,https://auth.geeksforgeeks.org/user/hsnooob/
1747916,prachimahajan631,462,239,,https://auth.geeksforgeeks.org/user/prachimahajan631/
784659,ganeshrapeti8,461,222,0,https://auth.geeksforgeeks.org/user/ganeshrapeti8/
2538874,himanshu00738,459,157,0,https://auth.geeksforgeeks.org/user/himanshu00738/
3179789,devanshgulati2002,458,141,7,https://auth.geeksforgeeks.org/user/devanshgulati2002/
9065337,fasil2020bite028,453,122,35,https://auth.geeksforgeeks.org/user/fasil2020bite028/
1408590,shivanirastogi63,452,215,2,https://auth.geeksforgeeks.org/user/shivanirastogi63/
293682,demyst1fy,451,150,,https://auth.geeksforgeeks.org/user/demyst1fy/
8558459,nishikumari719,450,162,91,https://auth.geeksforgeeks.org/user/nishikumari719/
2920590,safayaparath,444,121,4,https://auth.geeksforgeeks.org/user/safayaparath/
12623409,ritikgoyal_04,442,143,60,https://auth.geeksforgeeks.org/user/ritikgoyal_04/
9525749,jatinsai0rcv,436,114,52,https://auth.geeksforgeeks.org/user/jatinsai0rcv/
15407623,nikhel20277zf,436,119,23,https://auth.geeksforgeeks.org/user/nikhel20277zf/
12994554,jesseprabhakarpnao9,434,111,69,https://auth.geeksforgeeks.org/user/jesseprabhakarpnao9/
20220789,priyanju0zp7,432,120,1,https://auth.geeksforgeeks.org/user/priyanju0zp7/
7256931,jatin2019bite054,427,112,52,https://auth.geeksforgeeks.org/user/jatin2019bite054/
10553012,shakilkatrrgf,426,136,1,https://auth.geeksforgeeks.org/user/shakilkatrrgf/
14902045,nagillaganesh,425,132,6,https://auth.geeksforgeeks.org/user/nagillaganesh/
5241941,mohith2019bite038,422,108,91,https://auth.geeksforgeeks.org/user/mohith2019bite038/
543918,partyBRO,420,156,0,https://auth.geeksforgeeks.org/user/partyBRO/
2790973,mirsayib,420,132,1,https://auth.geeksforgeeks.org/user/mirsayib/
18889486,sunamkundal,420,131,3,https://auth.geeksforgeeks.org/user/sunamkundal/
9479845,sonigaurav950,419,127,1,https://auth.geeksforgeeks.org/user/sonigaurav950/
7514901,maverickgunner123546,417,137,,https://auth.geeksforgeeks.org/user/maverickgunner123546/
2371692,mahinsagotra18,412,185,1,https://auth.geeksforgeeks.org/user/mahinsagotra18/
7936931,vishalk1246,412,142,29,https://auth.geeksforgeeks.org/user/vishalk1246/
4974658,vinayaksingh920,405,119,21,https://auth.geeksforgeeks.org/user/vinayaksingh920/
3281484,akashsinghking77239,402,105,4,https://auth.geeksforgeeks.org/user/akashsinghking77239/
20177995,rahulplaxpjb,400,122,,https://auth.geeksforgeeks.org/user/rahulplaxpjb/
3249634,prakashanshu1234,399,125,1,https://auth.geeksforgeeks.org/user/prakashanshu1234/
8553720,kumarwakeel121,399,116,11,https://auth.geeksforgeeks.org/user/kumarwakeel121/
12043058,santhoshreddy_18,394,129,5,https://auth.geeksforgeeks.org/user/santhoshreddy_18/
10594160,ruchikhand2cbm,393,129,1,https://auth.geeksforgeeks.org/user/ruchikhand2cbm/
2695013,chetanya1466,392,111,,https://auth.geeksforgeeks.org/user/chetanya1466/
4361926,agrimani125,392,121,17,https://auth.geeksforgeeks.org/user/agrimani125/
11108145,soniarajp1mss,392,98,44,https://auth.geeksforgeeks.org/user/soniarajp1mss/
304788,Aaqib_003,391,148,,https://auth.geeksforgeeks.org/user/Aaqib_003/
1416703,rajeevsharmaazaz09,390,117,,https://auth.geeksforgeeks.org/user/rajeevsharmaazaz09/
7112956,shubhamraihero2015,388,112,25,https://auth.geeksforgeeks.org/user/shubhamraihero2015/
1713853,danishjasrotia07,384,132,4,https://auth.geeksforgeeks.org/user/danishjasrotia07/
13754386,adnan_bhat,383,103,0,https://auth.geeksforgeeks.org/user/adnan_bhat/
749568,rakes4499,380,144,,https://auth.geeksforgeeks.org/user/rakes4499/
15659618,naikadprna,378,115,1,https://auth.geeksforgeeks.org/user/naikadprna/
3910272,gurpreetsingh0227,377,200,1,https://auth.geeksforgeeks.org/user/gurpreetsingh0227/
13683657,siddharthvl7v9,377,103,30,https://auth.geeksforgeeks.org/user/siddharthvl7v9/
20013753,mohammadmuxhbw,376,122,1,https://auth.geeksforgeeks.org/user/mohammadmuxhbw/
165905,Bhanu Agrawal,373,191,,https://auth.geeksforgeeks.org/user/Bhanu Agrawal/
4831174,ritikmahour123,372,143,7,https://auth.geeksforgeeks.org/user/ritikmahour123/
8039853,podugumanicharan,372,136,20,https://auth.geeksforgeeks.org/user/podugumanicharan/
9958032,arjuntan3qcm,372,118,18,https://auth.geeksforgeeks.org/user/arjuntan3qcm/
9260722,047mushkannarayan3975,371,112,18,https://auth.geeksforgeeks.org/user/047mushkannarayan3975/
1583706,takeontheworld,369,264,1,https://auth.geeksforgeeks.org/user/takeontheworld/
1271386,ekaksher21,368,119,,https://auth.geeksforgeeks.org/user/ekaksher21/
10283638,arun2019bciv,368,98,33,https://auth.geeksforgeeks.org/user/arun2019bciv/
10474385,harshrajti8cga,366,101,31,https://auth.geeksforgeeks.org/user/harshrajti8cga/
197977,shah arslan,364,122,5,https://auth.geeksforgeeks.org/user/shah arslan/
6863736,neha463316,364,206,0,https://auth.geeksforgeeks.org/user/neha463316/
8744738,rohitprajapat171202,364,108,8,https://auth.geeksforgeeks.org/user/rohitprajapat171202/
17274627,nitesh01,360,110,65,https://auth.geeksforgeeks.org/user/nitesh01/
705367,omarseyam1729,358,122,0,https://auth.geeksforgeeks.org/user/omarseyam1729/
61410,Shibbu11,357,169,,https://auth.geeksforgeeks.org/user/Shibbu11/
858023,shivanikumari1,355,229,0,https://auth.geeksforgeeks.org/user/shivanikumari1/
8721143,rajesh2019bcse070,355,93,60,https://auth.geeksforgeeks.org/user/rajesh2019bcse070/
8837355,miraamir22,349,95,,https://auth.geeksforgeeks.org/user/miraamir22/
3252283,shivamk7889,344,96,39,https://auth.geeksforgeeks.org/user/shivamk7889/
7369156,sahilashraf045,342,136,1,https://auth.geeksforgeeks.org/user/sahilashraf045/
13332517,abruabkky2,341,91,1,https://auth.geeksforgeeks.org/user/abruabkky2/
3049152,ethantnuh6,340,105,,https://auth.geeksforgeeks.org/user/ethantnuh6/
468162,aimlock,337,110,1,https://auth.geeksforgeeks.org/user/aimlock/
12929138,amarkumarofttkz,337,111,1,https://auth.geeksforgeeks.org/user/amarkumarofttkz/
792748,abhishake,335,162,,https://auth.geeksforgeeks.org/user/abhishake/
1860087,sanjaykumarnitsgr1,335,171,0,https://auth.geeksforgeeks.org/user/sanjaykumarnitsgr1/
14757875,akhilesh2p9u,331,126,0,https://auth.geeksforgeeks.org/user/akhilesh2p9u/
8908766,mohitkumar46611,329,135,1,https://auth.geeksforgeeks.org/user/mohitkumar46611/
12032790,qazi2020mz6j,325,140,1,https://auth.geeksforgeeks.org/user/qazi2020mz6j/
1257961,khushboo110597,323,127,,https://auth.geeksforgeeks.org/user/khushboo110597/
17245267,pratapraj3s77,322,110,,https://auth.geeksforgeeks.org/user/pratapraj3s77/
3550064,rajsinghrathour0,321,138,1,https://auth.geeksforgeeks.org/user/rajsinghrathour0/
9307825,prathamkumarmbd,320,108,10,https://auth.geeksforgeeks.org/user/prathamkumarmbd/
268525,DeepanshuVats,318,117,,https://auth.geeksforgeeks.org/user/DeepanshuVats/
129651,Shubham Raj 5,317,153,,https://auth.geeksforgeeks.org/user/Shubham Raj 5/
10532184,priyanshuk6395,317,81,,https://auth.geeksforgeeks.org/user/priyanshuk6395/
6767892,khanikhlas88,316,107,1,https://auth.geeksforgeeks.org/user/khanikhlas88/
87385,DudePK,314,165,,https://auth.geeksforgeeks.org/user/DudePK/
1759377,shivs19575,314,178,1,https://auth.geeksforgeeks.org/user/shivs19575/
265994,MuneeshKumar,311,128,8,https://auth.geeksforgeeks.org/user/MuneeshKumar/
1402761,house_stark,308,140,,https://auth.geeksforgeeks.org/user/house_stark/
10629640,ayush2003fyu2,307,97,,https://auth.geeksforgeeks.org/user/ayush2003fyu2/
8268523,singhay4249,306,105,16,https://auth.geeksforgeeks.org/user/singhay4249/
4296335,abhishiek4u,304,129,2,https://auth.geeksforgeeks.org/user/abhishiek4u/
1481058,shivendra67,303,94,,https://auth.geeksforgeeks.org/user/shivendra67/
23204217,amirraso32sw,300,90,,https://auth.geeksforgeeks.org/user/amirraso32sw/
1730895,kaisarnajar11114,299,83,,https://auth.geeksforgeeks.org/user/kaisarnajar11114/
3202339,dineshsunnygaddam2002,298,125,3,https://auth.geeksforgeeks.org/user/dineshsunnygaddam2002/
7560969,saran13eng,298,134,1,https://auth.geeksforgeeks.org/user/saran13eng/
10011477,hbindaorql,298,94,,https://auth.geeksforgeeks.org/user/hbindaorql/
14950812,adamyc76k,295,82,0,https://auth.geeksforgeeks.org/user/adamyc76k/
19080314,samisamrqbj,293,93,0,https://auth.geeksforgeeks.org/user/samisamrqbj/
12230539,naiker6dim,292,99,0,https://auth.geeksforgeeks.org/user/naiker6dim/
18250041,shoaibalxz9o,291,92,,https://auth.geeksforgeeks.org/user/shoaibalxz9o/
4955262,ankitanku3302,286,305,0,https://auth.geeksforgeeks.org/user/ankitanku3302/
